,Date,Model,Count,Normalized Count,day,month,year
111,969,37,2600,7.945438301682521,30,8,2016
112,969,47,1,-0.30371782892444277,30,8,2016
113,969,113,11,-0.27197809775627435,30,8,2016
114,969,73,2,-0.30054385580762594,30,8,2016
115,969,52,31,-0.2084986354199376,30,8,2016
116,969,39,4,-0.2941959095739923,30,8,2016
117,969,40,390,0.9309577135173075,30,8,2016
118,969,115,6,-0.28784796334035856,30,8,2016
119,969,89,67,-0.09423560321453141,30,8,2016
120,969,24,5,-0.2910219364571754,30,8,2016
121,969,98,3,-0.2973698826908091,30,8,2016
122,969,117,4,-0.2941959095739923,30,8,2016
123,969,100,82,-0.04662600646227884,30,8,2016
124,969,35,152,0.17555211171489987,30,8,2016
125,969,4,1,-0.30371782892444277,30,8,2016
126,969,36,52,-0.141845199966784,30,8,2016
127,969,44,812,2.2703743688140134,30,8,2016
128,969,50,5,-0.2910219364571754,30,8,2016
129,969,110,5,-0.2910219364571754,30,8,2016
130,969,66,6,-0.28784796334035856,30,8,2016
131,969,61,39,-0.1831068504854029,30,8,2016
132,969,32,16,-0.2561082321721902,30,8,2016
133,969,101,136,0.12476854184583046,30,8,2016
134,969,9,7,-0.28467399022354173,30,8,2016
135,969,59,9,-0.27832604398990807,30,8,2016
136,969,25,5,-0.2910219364571754,30,8,2016
137,969,33,692,1.8894975947959927,30,8,2016
138,969,108,2,-0.30054385580762594,30,8,2016
139,969,45,675,1.8355400518101064,30,8,2016
140,969,87,24,-0.23071644723765547,30,8,2016
141,969,64,1,-0.30371782892444277,30,8,2016
142,969,70,18,-0.2497602859385565,30,8,2016
143,969,68,6,-0.28784796334035856,30,8,2016
144,969,19,1,-0.30371782892444277,30,8,2016
145,969,85,1,-0.30371782892444277,30,8,2016
146,969,123,2,-0.30054385580762594,30,8,2016
147,969,42,336,0.7595631652091982,30,8,2016
148,969,34,17,-0.25293425905537337,30,8,2016
149,969,74,15,-0.25928220528900703,30,8,2016
150,969,11,13,-0.2656301515226407,30,8,2016
151,969,92,8,-0.2815000171067249,30,8,2016
152,969,96,41,-0.1767589042517692,30,8,2016
153,969,60,245,0.4707316115788659,30,8,2016
154,969,26,1,-0.30371782892444277,30,8,2016
155,969,94,5,-0.2910219364571754,30,8,2016
156,969,12,114,0.054941133275860005,30,8,2016
157,969,78,6,-0.28784796334035856,30,8,2016
